,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-2473.35,0.0625651,4.98378,-2482.25,-2472.89,-2465.88,6345.32,2.53424,1.00003
beta_base_revenue,0.827549,0.000215041,0.0299717,0.779087,0.827435,0.87728,19425.8,7.75844,0.999972
beta_google_performance_max,943.207,0.330248,56.4525,831.131,960.058,996.861,29220.5,11.6703,0.999843
param_A_google_performance_max,1.88123,0.000708717,0.115837,1.64865,1.91566,1.99338,26714.7,10.6695,1.00004
param_B_google_performance_max,865.656,0.6286,95.3635,685.754,882.04,988.124,23015.2,9.19201,0.999959
beta_google_search_brand,943.657,0.339353,56.3362,833.903,961.117,996.96,27559.6,11.007,0.999974
param_A_google_search_brand,1.8806,0.000751172,0.118174,1.64538,1.91721,1.99382,24749.5,9.88465,1.00003
param_B_google_search_brand,522.4,0.87555,104.412,373.365,510.621,711.713,14221.2,5.67978,0.999951
beta_google_search_no_brand,548.423,1.68887,247.299,122.735,558.575,935.209,21441.3,8.56339,1.00005
param_A_google_search_no_brand,1.17596,0.00301234,0.495768,0.311758,1.20576,1.91419,27086.3,10.818,0.999962
param_B_google_search_no_brand,605.514,1.54965,250.243,152.202,628.981,961.019,26077.0,10.4148,0.999869
beta_facebook_conversions,234.003,1.57464,211.915,13.4486,169.65,688.407,18111.8,7.23362,1.00018
param_A_facebook_conversions,0.846726,0.00369879,0.555367,0.140403,0.740986,1.84809,22544.5,9.004,1.00002
param_B_facebook_conversions,472.851,1.7596,303.264,32.4727,460.539,951.799,29704.0,11.8634,0.999849
beta_facebook_others,338.419,1.75287,240.75,27.0923,291.799,815.947,18864.0,7.53405,0.999914
param_A_facebook_others,0.938461,0.00332223,0.542248,0.175585,0.872278,1.8706,26640.2,10.6398,0.999936
param_B_facebook_others,498.641,1.67901,290.419,56.6933,493.829,953.768,29918.6,11.9491,0.999989
beta_facebook_product_catalog_sales,952.264,0.295818,48.1966,855.914,966.833,997.711,26545.0,10.6017,0.999817
param_A_facebook_product_catalog_sales,1.90001,0.000567603,0.0978221,1.70294,1.93044,1.99457,29701.9,11.8626,1.00003
param_B_facebook_product_catalog_sales,785.223,0.941749,110.723,599.731,786.616,963.911,13823.1,5.52078,0.999967
beta_influencers,283.274,1.65805,226.144,19.0484,227.447,746.589,18602.7,7.42971,1.00009
param_A_influencers,0.923132,0.003439,0.550778,0.163067,0.851679,1.86843,25650.2,10.2444,0.999906
param_B_influencers,531.204,1.83035,294.123,50.4073,552.624,960.159,25822.0,10.313,0.999921
beta_display_ads,273.822,1.58836,223.532,18.0636,215.371,740.95,19805.2,7.90995,0.999991
param_A_display_ads,0.885011,0.00367434,0.550973,0.15168,0.801158,1.86177,22485.4,8.9804,0.999862
param_B_display_ads,479.323,1.68775,292.247,41.534,469.993,944.789,29983.7,11.9751,0.99991
beta_tv_ads,287.988,1.57281,227.416,20.4603,232.15,747.822,20907.0,8.35,0.999826
param_A_tv_ads,0.933084,0.00363382,0.561062,0.15385,0.871265,1.87408,23839.4,9.52118,0.999862
param_B_tv_ads,471.914,1.67678,291.147,41.2537,453.91,945.75,30149.2,12.0412,0.999918
beta_radio_ads,944.195,0.318527,55.8625,834.504,961.287,997.138,30757.4,12.2841,0.999869
param_A_radio_ads,1.88052,0.000823309,0.120836,1.63861,1.91766,1.99433,21541.1,8.60325,0.999839
param_B_radio_ads,306.58,0.546579,62.7581,219.975,298.825,417.713,13183.6,5.26536,1.00012
beta_magazine_ads,372.098,1.73173,248.999,36.4583,332.414,849.45,20674.6,8.2572,1.00008
param_A_magazine_ads,0.967682,0.00331112,0.533149,0.1873,0.918276,1.87175,25926.7,10.3548,0.999958
param_B_magazine_ads,516.991,1.62715,285.673,66.981,521.811,952.307,30823.6,12.3106,0.999965
sigma,653.015,0.16181,25.1108,613.298,651.88,695.805,24083.1,9.61852,0.999959
mu[1],6109.76,0.581154,90.0241,5952.02,6115.2,6247.53,23995.8,9.58364,0.999954
mu[2],5829.14,0.460298,66.9343,5718.28,5829.08,5939.04,21145.5,8.44527,1.00005
mu[3],6353.2,0.492429,73.5776,6232.31,6352.97,6474.22,22325.6,8.91658,1.00004
mu[4],6106.11,0.44471,65.7461,5996.38,6107.11,6212.22,21856.8,8.72932,1.00012
mu[5],4960.57,0.584036,85.5202,4819.49,4959.73,5102.37,21441.7,8.56355,1.00004
mu[6],5911.65,0.560332,84.5704,5769.2,5914.08,6047.97,22779.6,9.09788,1.00003
mu[7],5439.61,0.53327,84.0655,5298.36,5440.53,5575.67,24850.8,9.92512,0.99989
mu[8],6732.0,0.413423,62.1412,6627.84,6732.34,6832.25,22592.8,9.02331,1.00001
mu[9],5650.75,0.583851,89.0611,5504.25,5650.98,5798.66,23268.7,9.29323,1.00003
mu[10],6745.36,0.441903,63.4808,6641.55,6744.71,6851.4,20636.3,8.24189,1.00011
mu[11],6177.66,0.506166,77.4929,6049.24,6178.4,6304.46,23439.0,9.36125,1.00012
mu[12],8064.64,0.368955,54.8534,7974.78,8064.86,8153.74,22103.5,8.82786,1.00007
mu[13],6044.8,0.450673,68.1242,5931.48,6045.28,6155.88,22849.6,9.12587,0.999981
mu[14],7055.98,0.471504,69.3896,6939.75,7058.32,7166.58,21658.0,8.64996,0.99995
mu[15],5670.22,0.567544,85.1378,5529.46,5671.47,5809.04,22503.3,8.98754,1.00007
mu[16],7711.17,0.323634,47.0517,7634.75,7711.02,7789.33,21136.9,8.44181,1.00005
mu[17],8082.76,0.328123,47.2219,8007.79,8081.56,8162.66,20711.6,8.27195,1.00018
mu[18],6349.71,0.48459,75.2931,6226.5,6348.75,6474.24,24141.3,9.64176,0.99994
mu[19],7469.54,0.389717,58.9686,7371.28,7470.56,7564.7,22895.2,9.14405,0.999983
mu[20],9048.23,0.425048,60.8011,8950.47,9047.17,9150.02,20462.0,8.17227,1.00008
mu[21],8319.05,0.403484,62.1276,8214.63,8319.9,8418.28,23709.2,9.46918,0.999924
mu[22],7282.92,0.514662,74.0404,7156.29,7285.67,7399.5,20696.3,8.26586,0.999963
mu[23],7427.03,0.361117,52.988,7339.66,7426.97,7514.48,21530.8,8.59913,0.999957
mu[24],8072.21,0.3393,48.9791,7993.35,8071.31,8153.87,20837.9,8.3224,1.00004
mu[25],9613.77,0.67904,103.655,9438.12,9617.1,9776.19,23302.0,9.30655,0.99994
mu[26],6539.84,0.412648,59.6774,6440.33,6540.04,6637.31,20915.1,8.35325,1.00017
mu[27],8156.13,0.404149,61.8784,8046.23,8161.2,8248.52,23442.1,9.36249,0.999961
mu[28],7558.15,0.453579,67.8929,7443.83,7559.94,7667.19,22404.9,8.94824,1.00003
mu[29],8803.69,0.419459,60.8091,8702.8,8804.04,8903.03,21016.4,8.39371,1.00006
mu[30],7601.03,0.440399,66.6231,7492.41,7600.42,7710.49,22885.3,9.1401,1.00001
mu[31],7747.72,0.41461,58.4738,7652.37,7746.97,7845.19,19890.4,7.944,1.0
mu[32],6225.3,0.460783,69.9708,6110.32,6224.88,6341.26,23059.0,9.20949,1.0
mu[33],5288.77,0.576395,90.0566,5142.65,5287.9,5439.5,24411.3,9.74958,0.99991
mu[34],6374.21,0.630722,90.0022,6222.11,6376.43,6516.93,20362.4,8.13251,0.999906
mu[35],7193.58,0.474163,72.9672,7070.76,7195.2,7309.59,23681.0,9.45791,1.00008
mu[36],6550.46,0.410092,60.9181,6451.07,6549.86,6651.79,22066.4,8.81305,0.999974
mu[37],7666.76,0.388493,56.3086,7575.97,7665.74,7761.05,21007.9,8.3903,1.00015
mu[38],5883.98,0.561583,83.7718,5746.38,5884.04,6022.3,22251.9,8.88715,0.999995
mu[39],5311.8,0.637815,100.125,5147.26,5311.8,5476.78,24643.2,9.8422,0.99985
mu[40],5425.93,0.545674,82.7296,5290.77,5425.59,5563.11,22985.6,9.18016,0.999913
mu[41],7562.91,0.382417,56.8802,7467.11,7564.76,7653.84,22123.2,8.83573,1.0001
mu[42],7258.69,0.382113,55.6239,7169.49,7258.02,7352.08,21190.4,8.46317,0.999996
mu[43],5323.18,0.608681,84.0713,5184.29,5323.09,5462.64,19077.2,7.61922,0.999953
mu[44],6500.62,0.491788,70.2283,6382.51,6501.36,6613.92,20392.3,8.14446,0.999958
mu[45],7523.96,0.653531,96.2627,7357.66,7527.21,7675.74,21696.2,8.66521,0.999872
mu[46],7028.14,0.344707,51.8179,6940.7,7029.28,7110.56,22597.4,9.02513,1.00005
