,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-2473.45,0.0629784,4.99104,-2482.19,-2473.06,-2465.93,6280.58,2.48684,1.0004
beta_base_revenue,0.827615,0.000211785,0.0300491,0.778835,0.827462,0.876941,20131.3,7.97114,0.999927
beta_google_performance_max,943.482,0.341988,56.3656,831.745,960.849,997.0,27164.9,10.7561,0.999974
param_A_google_performance_max,1.88142,0.000668404,0.11662,1.64665,1.91724,1.99368,30441.8,12.0537,0.999971
param_B_google_performance_max,867.547,0.662924,94.8234,687.421,883.473,988.991,20459.9,8.10125,0.999922
beta_google_search_brand,943.635,0.324125,56.3859,831.417,960.658,997.206,30263.4,11.983,0.999937
param_A_google_search_brand,1.88016,0.000802644,0.119612,1.64126,1.91671,1.99382,22207.6,8.79326,0.999984
param_B_google_search_brand,524.184,1.08076,106.615,375.487,512.335,717.987,9731.48,3.85325,0.999877
beta_google_search_no_brand,546.204,1.73645,246.856,119.787,555.591,934.72,20209.7,8.0022,0.999979
param_A_google_search_no_brand,1.17956,0.00337224,0.495166,0.32358,1.21375,1.91419,21560.8,8.53718,0.999869
param_B_google_search_no_brand,607.126,1.43785,250.195,154.523,633.448,962.761,30278.2,11.9889,0.999865
beta_facebook_conversions,231.683,1.48014,210.989,12.0736,166.479,683.121,20319.6,8.04569,1.00012
param_A_facebook_conversions,0.849053,0.00397524,0.553813,0.145767,0.740328,1.85482,19408.8,7.68506,0.999915
param_B_facebook_conversions,468.68,1.85097,302.82,31.1587,455.816,948.26,26765.2,10.5979,1.00008
beta_facebook_others,336.685,1.70667,241.141,30.1197,288.453,814.471,19963.9,7.90487,0.999941
param_A_facebook_others,0.938052,0.00376092,0.544423,0.17262,0.871569,1.87547,20954.9,8.29725,0.999841
param_B_facebook_others,495.095,1.89162,288.049,58.1034,486.958,950.701,23188.1,9.1815,0.999845
beta_facebook_product_catalog_sales,952.421,0.275084,47.3124,856.869,967.023,997.536,29581.5,11.713,0.999879
param_A_facebook_product_catalog_sales,1.9004,0.000579169,0.0997054,1.70024,1.93131,1.99461,29636.5,11.7348,0.999864
param_B_facebook_product_catalog_sales,783.668,0.782975,108.959,600.192,786.192,959.274,19365.5,7.66792,0.999948
beta_influencers,287.944,1.60059,229.54,19.3646,230.495,765.184,20566.3,8.14339,0.999985
param_A_influencers,0.916324,0.00428205,0.555583,0.15924,0.840938,1.87573,16834.3,6.66566,1.00005
param_B_influencers,538.27,1.92352,291.766,51.9675,563.03,960.829,23007.7,9.11009,1.00011
beta_display_ads,273.131,1.67082,226.607,16.1652,212.1,749.012,18394.5,7.28345,0.999945
param_A_display_ads,0.885842,0.00350581,0.552568,0.153784,0.789636,1.85948,24842.5,9.83659,0.999891
param_B_display_ads,483.767,1.81266,297.166,41.3568,471.019,951.326,26876.1,10.6418,0.999967
beta_tv_ads,286.606,1.76143,225.173,20.3942,233.228,742.514,16341.9,6.47069,1.0002
param_A_tv_ads,0.928982,0.00364897,0.563102,0.160215,0.859018,1.87578,23814.1,9.42938,0.999992
param_B_tv_ads,470.455,1.64297,289.981,42.7382,452.714,941.453,31151.5,12.3347,0.99997
